"id","difficulty","publicTransit","dogFriendly","camping","rating","trailTitle"
"eb152d93149911eeac7a50eb7124d145","Easy","FALSE","TRUE","FALSE",5,"Burnett Falls"
"eb1683dd149911eeac7a50eb7124d145","Easy","FALSE","FALSE","TRUE",4.13,"Cheakamus Lake"
"eb0ee930149911eeac7a50eb7124d145","Easy","TRUE","TRUE","FALSE",4.5,"Admiralty Point"
"eb1b40b8149911eeac7a50eb7124d145","Easy","TRUE","FALSE","FALSE",3.2,"Fisherman's Trail"
"eb1003ea149911eeac7a50eb7124d145","Intermediate","FALSE","TRUE","FALSE",3.24,"Ancient Cedars Trail"
"eb17061b149911eeac7a50eb7124d145","Easy","FALSE","TRUE","FALSE",5,"Cliff Gilker Park"
"eb119005149911eeac7a50eb7124d145","Intermediate","FALSE","FALSE","FALSE",4,"Blackcomb Meadows"
"eb14a3d0149911eeac7a50eb7124d145","Easy","TRUE","TRUE","FALSE",3.76,"Buntzen Lake"
"eb17c44f149911eeac7a50eb7124d145","Intermediate","TRUE","TRUE","FALSE",3.67,"Coquitlam Crunch"
"eb17e861149911eeac7a50eb7124d145","Intermediate","FALSE","TRUE","FALSE",4.67,"Crater Rim Trail"
"eb12f898149911eeac7a50eb7124d145","Easy","FALSE","TRUE","FALSE",4,"Brandywine Falls"
"eb13d43a149911eeac7a50eb7124d145","Intermediate","FALSE","TRUE","TRUE",3.67,"Brohm Lake"
"eb11fe90149911eeac7a50eb7124d145","Easy","FALSE","TRUE","FALSE",4.4,"Bowen Lookout"
"eb1db16c149911eeac7a50eb7124d145","Difficult","TRUE","FALSE","FALSE",4.21,"Grouse Grind"
"eb10b2e5149911eeac7a50eb7124d145","Difficult","TRUE","FALSE","FALSE",3.86,"BCMC Trail"
"eb18aa97149911eeac7a50eb7124d145","Easy","TRUE","TRUE","FALSE",3.65,"Cypress Falls"
"eb10dda0149911eeac7a50eb7124d145","Intermediate","TRUE","TRUE","FALSE",3.71,"Belcarra Bluffs"
"eb105a58149911eeac7a50eb7124d145","Intermediate","TRUE","TRUE","FALSE",4.1,"Baden Powell Deep Cove to Lynn Canyon"
"eb172cc6149911eeac7a50eb7124d145","Difficult","TRUE","TRUE","FALSE",3.4,"Coliseum Mountain"
